Stock,Date,Identified Price,Week Day 1 Close,Week Day 2 Close,Week Day 3 Close,Week Day 4 Close,Week Day 5 Close,Week Day 6 Close,Week Day 7 Close,1 Month Close Price,3 Month Close Price,1 Week Return (%),1 Month Return (%),3 Month Return (%)
HEROMOTOCO,8/29/2024,5374.5,5374.5,5455.399902,5578.200195,5578.200195,5578.200195,5646.5,5683.75,5957.350098,4838.700195,5.75402363,10.84473156,-9.969295836
PIDILITIND,8/29/2024,3080.850098,3080.850098,3123.300049,3162.199951,3162.199951,3162.199951,3173.550049,3214.949951,3363.449951,3012.050049,4.352689981,9.172788177,-2.233151456
AEGISLOG,9/2/2024,803.5999756,803.5999756,836.3499756,848.3499756,849.75,817,822.5499878,822.5499878,764.5,907.9500122,2.358139968,-4.865601888,12.98532103
ASAHIINDIA,9/2/2024,632.75,632.75,656.5,678.2999878,684.25,686.2000122,701.2999878,701.2999878,773.5999756,684.5999756,10.83366065,22.25997244,8.194385711
FLUOROCHEM,9/5/2024,3521.763428,3521.763428,3806.158447,3973.637939,3973.637939,3973.637939,3925.922363,4030.746826,4065.300049,4054.100098,14.45251531,15.43364943,15.11562832
BRIGADE,9/5/2024,1302.050049,1302.050049,1318.75,1312,1312,1312,1317.849976,1320.400024,1370,1284.849976,1.409314151,5.218689653,-1.320999393
ZFCVINDIA,9/8/2024,16346.84961,16346.84961,16346.84961,16844.15039,16700.09961,16961.05078,17206.44922,16881.5,15075.65039,12347.5,,,
ORIENTLTD,9/10/2024,99.81999969,99.81999969,107.1600037,115.7099991,110.6800003,117.75,117.75,117.75,106.3000031,119.1600037,17.96233256,6.491688416,19.37487881
BIGBLOC,9/10/2024,126.2399979,126.2399979,128.9499969,138.8300018,136.1199951,133.9799957,133.9799957,133.9799957,118.5699997,118.2300034,6.131177119,-6.075727423,-6.34505279
BOSCHLTD,9/11/2024,33209.60156,33209.60156,34113.89844,34343.14844,34037,34037,34037,34720.30078,38222.25,35895.14844,4.548983269,15.09397343,8.08665792
JINDALSTEL,9/12/2024,1004.650024,1004.650024,1031.099976,1043.099976,1043.099976,1043.099976,1052.75,1024.849976,1005.849976,1002.349976,2.010645566,0.11943972,-0.228940305
M&M,9/15/2024,16346.84961,2757.399902,2757.399902,2787.649902,2808.199951,2797.5,2950.850098,3049.800049,3154.899902,3081.399902,,,
UNITEDPOLY,9/15/2024,102.5400009,102.5400009,102.5400009,100.8199997,113.9499969,111.5199966,114.4100037,126.9899979,115.4899979,154,,,
AXISBANK,9/15/2024,1231.050049,1231.050049,1231.050049,1232.099976,1240.449951,1242.699951,1245,1246.800049,1164.349976,1148.150024,,,
NEOGEN,9/16/2024,1602.053711,1602.053711,1792.951538,1888.949951,2183.149902,2337.300049,2233.949951,2233.949951,2095.050049,2183.399902,39.44288733,30.77277213,36.28755936
LUMAXTECH,9/17/2024,558.4000244,558.4000244,572.9000244,576.6500244,566.3499756,577.7000122,577.7000122,577.7000122,572.6500244,606,3.456301388,2.551933986,8.524350556
SEJALLTD,9/17/2024,333.25,333.25,349.8999939,367.3500061,385.7000122,404.9500122,404.9500122,404.9500122,448.3999939,609.25,21.51538251,34.55363658,82.82070518
SINTERCOM,9/18/2024,130.1300049,130.1300049,138.9199982,144.4199982,150.0299988,150.0299988,150.0299988,154.4900055,155.9700012,170.5599976,18.71974156,19.85706245,31.06892427
KPRMILL,9/18/2024,859.0999756,859.0999756,934.9500122,960.9500122,935.5,935.5,935.5,1009.25,936.7000122,1097.949951,17.47759617,9.032713168,27.80234925
SOBHA,9/19/2024,1871.099976,1871.099976,1987.650024,2044.900024,2044.900024,2044.900024,1995.5,2015.400024,1739.849976,1620.199951,7.712043756,-7.014590439,-13.409226
ESCORTS,9/22/2024,4233.899902,4233.899902,4233.899902,4349.299805,4374.700195,4351.350098,4328,4268.799805,3743.399902,3162.050049,,,
SRHHYPOLTD,9/22/2024,641.2000122,641.2000122,641.2000122,671.4500122,674.9000244,751.0499878,750.0999756,717.0999756,780,798.1500244,,,
AUSOMENT,9/23/2024,98.66999817,98.66999817,102.7099991,107.8399963,106.25,106.4199982,107.3499985,107.3499985,140.1999969,106.8499985,8.797000574,42.08979381,8.290260927
VIDHIING,9/23/2024,443.5436401,443.5436401,487.8233643,489.6144409,480.2112427,507.027832,504.1421814,504.1421814,456.1807556,541.9250488,13.66236279,2.849125618,22.18077316
NATIONALUM,9/23/2024,177.3448181,177.3448181,188.4042511,192.0644989,199.7588959,203.7143097,206.9121094,206.9121094,216.9286041,215.3600006,16.67220479,22.3202383,21.43574473
SMARTLINK,9/23/2024,280.0499878,280.0499878,308.0499878,338.8500061,321.8999939,305.7999878,290.5499878,290.5499878,227.8999939,210,3.74933064,-18.62167333,-25.0133872
BFUTILITIE,9/23/2024,898.2000122,898.2000122,955.75,957.9500122,1009.799988,980.9000244,945.3499756,945.3499756,927.0499878,1004.5,5.249383516,3.211976753,11.83477915
MARUTI,9/23/2024,12683.09961,12683.09961,12738.59961,12785.2998,13383.7998,13495.59961,13238,13238,11923.2998,10901.0498,4.375116554,-5.990647618,-14.05058589
GODREJPROP,9/23/2024,3192.350098,3192.350098,3202.600098,3327.449951,3305.649902,3191.399902,3160.949951,3160.949951,2907.699951,2855.949951,-0.983605981,-8.916633132,-10.53769594
HNGSNGBEES,9/24/2024,297.980011,297.980011,308.75,318.4700012,336.25,367.1199951,367.1199951,367.1199951,332.7600098,345.5700073,23.20289334,11.67192345,15.97086871
CPSEETF,9/24/2024,100.6900024,100.6900024,101.5599976,101.3099976,101.7900009,101.3499985,101.3499985,101.3499985,92.25,85.80999756,0.655473251,-8.382165296,-14.77803607
SIEMENS,9/26/2024,7062.669434,7062.669434,7280.17041,7235.063477,7235.063477,7235.063477,7496.224121,,6762.489258,6641.189453,,-4.250236806,-5.967714961
IOC,9/26/2024,171.3600006,171.3600006,180.0099945,180.1499939,180.1499939,180.1499939,179.0599976,,146.3099976,138.2700043,,-14.61834907,-19.31022188
FEDERALBNK,9/29/2024,196.7299957,196.7299957,196.7299957,197.1199951,,193.8000031,193.6699982,184.1999969,184.9900055,196.7299957,,,
STYRENIX,9/30/2024,2431.800293,2431.800293,2589.450439,,2535.06958,2436.798096,2343.969482,2343.969482,2455.898193,2931.050049,-3.611760834,0.990948988,20.53004752
EIMCOELECO,9/30/2024,2839.699951,2839.699951,2981.649902,,2906.199951,2893.850098,2858.050049,2858.050049,2601.449951,2155.800049,0.646198471,-8.389970916,-24.08352693
HERCULES,10/7/2024,586.2000122,586.2000122,633.0499878,634.9000244,678.9000244,199.5,209.4499969,209.4499969,197.5099945,228.6900024,-64.26987503,-66.30672289,-60.9877179
