date,symbol,marketcapname,sector
14-10-2024,FEDERALBNK,Largecap,Bank
14-10-2024,STYRENIX,Smallcap,Oils
14-10-2024,KELLTONTEC,Smallcap,I.T
14-10-2024,GANESHHOUC,Midcap,Realty
14-10-2024,JASH,Smallcap,FMCG
15-10-2024,360ONE,Largecap,Finance
16-10-2024,FINPIPE,Midcap,FMCG
16-10-2024,AJMERA,Smallcap,Realty
16-10-2024,ORIENTCEM,Midcap,Industrials
16-10-2024,ABSLAMC,Midcap,Finance
17-10-2024,GANGESSECU,Smallcap,Finance
18-10-2024,BBOX,Midcap,I.T
23-10-2024,TTL,Smallcap,Textiles
29-10-2024,FEDERALBNK,Largecap,Bank
30-10-2024,TEJASNET,Midcap,Telecom
30-10-2024,STEELCITY,Smallcap,Services
30-10-2024,360ONE,Largecap,Finance
30-10-2024,TCI,Midcap,Services
31-10-2024,SHAILY,Midcap,FMCG
31-10-2024,HECPROJECT,Smallcap,Realty
31-10-2024,SUMICHEM,Largecap,Industrials
31-10-2024,INOXWIND,Largecap,FMCG
01-11-2024,PIXTRANS,Smallcap,FMCG
04-11-2024,ELGIRUBCO,Smallcap,FMCG
04-11-2024,SPAL,Smallcap,Textiles
05-11-2024,BBOX,Midcap,I.T
05-11-2024,VIMTALABS,Smallcap,Pharmaceuticals
05-11-2024,RAMCOSYS,Smallcap,I.T
05-11-2024,AURUM,Smallcap,I.T
06-11-2024,ESTER,Smallcap,Services
06-11-2024,COROMANDEL,Largecap,Industrials
06-11-2024,WANBURY,Smallcap,Pharmaceuticals
06-11-2024,AFFLE,Largecap,I.T
06-11-2024,OFSS,Largecap,I.T
06-11-2024,FIEMIND,Smallcap,Auto
06-11-2024,IMFA,Smallcap,Metals
06-11-2024,WELINV,Smallcap,Finance
06-11-2024,SBIETFIT,Smallcap,Indices
06-11-2024,AXISTECETF,Smallcap,Indices
07-11-2024,EIDPARRY,Midcap,FMCG
08-11-2024,HESTERBIO,Smallcap,Pharmaceuticals
18-11-2024,JPOLYINVST,Smallcap,Finance
21-11-2024,S&SPOWER,Smallcap,FMCG
21-11-2024,JINDALPHOT,Smallcap,Finance
21-11-2024,EKC,Smallcap,Services
22-11-2024,NAUKRI,Largecap,I.T
25-11-2024,TIRUMALCHM,Smallcap,Industrials
25-11-2024,AVROIND,Smallcap,FMCG
26-11-2024,DELTAMAGNT,Smallcap,FMCG
26-11-2024,PRAJIND,Midcap,FMCG
26-11-2024,CAPACITE,Smallcap,Realty
26-11-2024,OPTIEMUS,Midcap,Services
26-11-2024,MARINE,Smallcap,FMCG
26-11-2024,RPSGVENT,Smallcap,I.T
26-11-2024,MONTECARLO,Smallcap,Textiles
27-11-2024,TNIDETF,Smallcap,Indices
27-11-2024,SARLAPOLY,Smallcap,Textiles
27-11-2024,SGIL,Smallcap,Industrials
27-11-2024,TIMETECHNO,Midcap,FMCG
27-11-2024,SANSERA,Midcap,Auto
28-11-2024,NAVA,Midcap,Miscellaneous
28-11-2024,MANINFRA,Midcap,Realty
29-11-2024,POLYCAB,Largecap,Industrials
29-11-2024,HEXATRADEX,Smallcap,Services
02-12-2024,CHAMBLFERT,Midcap,Industrials
02-12-2024,KSL,Smallcap,Metals
02-12-2024,NELCO,Smallcap,Telecom
02-12-2024,COSMOFIRST,Smallcap,Services
02-12-2024,APOLLOHOSP,Largecap,Pharmaceuticals
02-12-2024,PRICOLLTD,Midcap,Auto
02-12-2024,ANANTRAJ,Largecap,Realty
02-12-2024,HBLENGINE,Midcap,Auto
02-12-2024,WANBURY,Smallcap,Pharmaceuticals
02-12-2024,ASHAPURMIN,Smallcap,Industrials
02-12-2024,SETFNIFBK,Smallcap,Indices
02-12-2024,DSSL,Smallcap,I.T
02-12-2024,ASHOKA,Midcap,Realty
02-12-2024,RPPINFRA,Smallcap,Realty
03-12-2024,DIACABS,Midcap,Industrials
03-12-2024,ULTRACEMCO,Largecap,Industrials
03-12-2024,NITINSPIN,Smallcap,Textiles
03-12-2024,LTFOODS,Midcap,FMCG
04-12-2024,BANARISUG,Smallcap,FMCG
04-12-2024,INDIAGLYCO,Smallcap,FMCG
04-12-2024,HEG,Midcap,FMCG
04-12-2024,GOLDIAM,Midcap,Miscellaneous
04-12-2024,LINCOLN,Smallcap,Pharmaceuticals
05-12-2024,BLUESTARCO,Largecap,FMCG
05-12-2024,INDIANCARD,Smallcap,Textiles
05-12-2024,CNXSMALLCAP,Smallcap,Indices
05-12-2024,WELENT,Midcap,Realty
06-12-2024,VEDL,Largecap,Industrials
06-12-2024,NIFTYCONSURDURBL,Smallcap,Indices
06-12-2024,GODREJAGRO,Midcap,FMCG
06-12-2024,ADSL,Smallcap,I.T
09-12-2024,ROTO,Smallcap,FMCG
09-12-2024,TCPLPACK,Smallcap,Services
09-12-2024,SUMIT,Smallcap,Realty
09-12-2024,WEL,Smallcap,FMCG
09-12-2024,LUMAXTECH,Smallcap,Auto
09-12-2024,RELIGARE,Midcap,Finance
09-12-2024,MAXIND,Smallcap,Finance
10-12-2024,HARRMALAYA,Smallcap,FMCG
10-12-2024,GABRIEL,Midcap,Auto
10-12-2024,MHLXMIRU,Smallcap,Textiles
10-12-2024,ZOTA,Smallcap,Pharmaceuticals
10-12-2024,IIFLCAPS,Midcap,Services
10-12-2024,CANTABIL,Smallcap,Textiles
10-12-2024,TBZ,Smallcap,Miscellaneous
11-12-2024,GIPCL,Smallcap,Miscellaneous
11-12-2024,NIFTY50VALUE20,Smallcap,Indices
11-12-2024,CHEMFAB,Smallcap,Industrials
12-12-2024,HINDCOMPOS,Smallcap,Auto
13-12-2024,CENTUM,Smallcap,FMCG
13-12-2024,STARCEMENT,Midcap,Industrials
13-12-2024,BHARTIARTL,Largecap,Telecom
16-12-2024,STOVEKRAFT,Smallcap,FMCG
23-12-2024,LUPIN,Largecap,Pharmaceuticals
24-12-2024,POWERINDIA,Largecap,FMCG
26-12-2024,CNXPHARMA,Smallcap,Indices
26-12-2024,SUNPHARMA,Largecap,Pharmaceuticals
30-12-2024,WORTH,Smallcap,Services
31-12-2024,APOLLO,Smallcap,Aerospace & Defence
01-01-2025,KAUSHALYA,Smallcap,Services
02-01-2025,EICHERMOT,Largecap,Auto
09-01-2025,SRF,Largecap,Industrials
15-01-2025,TCPLPACK,Smallcap,Services
15-01-2025,CUBEXTUB,Smallcap,Metals
20-01-2025,AYMSYNTEX,Smallcap,Textiles
22-01-2025,KHAITANLTD,Smallcap,Services
24-01-2025,MPSLTD,Smallcap,I.T
30-01-2025,AMIORG,Midcap,Pharmaceuticals
31-01-2025,DEEPINDS,Smallcap,Oils
03-02-2025,JAGSNPHARM,Smallcap,Pharmaceuticals
03-02-2025,KAMATHOTEL,Smallcap,Services
04-02-2025,INDIAGLYCO,Smallcap,FMCG
04-02-2025,ARTEMISMED,Smallcap,Pharmaceuticals
04-02-2025,MAXHEALTH,Largecap,Pharmaceuticals
